Temp,DO,NH4,NO2,ABW,DOC
28.6,,0,0,0.12155555555555556,7.0
,,0.8,0.5,0.13877777777777778,8.0
28.7,11.89,0,0,0.156,9.0
30,10.31,0,0,0.236,10.0
30,9.46,0.9,0.75,0.316,11.0
30.1,10.1,0,0,0.396,12.0
29,10.19,0,0,0.47600000000000003,13.0
28.4,10.08,0.8,0.8,0.556,14.0
29.3,10.06,0.8,0,0.5,15.0
29.3,8.14,0,0,0.5700000000000001,16.0
28.5,10.05,0.8,0.4,0.6400000000000001,17.0
29.3,9.01,0,0,0.7100000000000002,18.0
29.8,9.18,0,0,0.8480000000000001,19.0
29.6,10.12,1.6,0.35,1.008,20.0
30.1,9.72,0,0,1.168,21.0
30.1,9.08,0,0,1.3279999999999998,22.0
28.6,6.74,1.6,0.1,1.4879999999999998,23.0
,6.54,0,0,1.6445,24.0
28.2,,0,0,1.7945,25.0
28.7,,3,0.15,1.9445,26.0
,,2.6,0.15,2.0945,27.0
,,3.3,0.1,2.2445,28.0
,7.93,4.4,0.1,2.4,29.0
28.9,6.97,5,0.1,2.54,30.0
27.7,5.84,4.4,0.05,2.68,31.0
27.4,4.82,3.5,0.1,2.8200000000000003,32.0
27.7,5.33,2.6,0.1,2.9600000000000004,33.0
28.7,5.61,3,0.1,3.111111111111111,34.0
29.2,4.93,3.5,0.05,3.321111111111111,35.0
29.5,4.57,5,0.05,3.531111111111111,36.0
29.7,5.11,10,0.05,3.741111111111111,37.0
30,4.75,10,0.05,3.951111111111111,38.0
29.7,5.22,10,0.05,4.1679389312977095,39.0
29.4,5.15,10,0.05,4.35793893129771,40.0
28.3,4.46,9,0.1,4.54793893129771,41.0
27.8,5.74,8,0.15,4.737938931297711,42.0
28.1,5.92,8,0.15,4.927938931297711,43.0
27.7,6.05,9,0.2,5.1179389312977115,44.0
28.3,,10,0.2,5.294797687861272,45.0
29,,10,0.25,5.474797687861272,46.0
,6.08,11,0.25,5.654797687861271,47.0
28.9,,12,0.4,5.834797687861271,48.0
,,12,0.4,6.0152284263959395,49.0
29.1,6.22,12,0.5,6.17522842639594,50.0
29.2,6.41,11,0.8,6.33522842639594,51.0
29.4,5.78,0,0,6.49522842639594,52.0
29.3,5.04,14,2.5,6.65522842639594,53.0
27.8,5.43,14,3,6.650746268656716,54.0
29,6.21,12,4,6.737164179104478,55.0
29.5,6.81,13,5,6.823582089552239,56.0
29.3,6.2,18,7.5,6.91,57.0
28.7,7.41,19,8.5,7.05,58.0
28.3,6.31,16,8.5,7.1899999999999995,59.0
28.6,6.93,8,9,7.329999999999999,60.0
29,7.45,11,9,7.469999999999999,61.0
29.1,5.11,8,8,7.6099999999999985,62.0
29.3,4.92,9,7.5,7.73,63.0
30.2,5.75,9,5.5,7.9225,64.0
30.4,6.03,8,5,8.115,65.0
29.7,7.29,9,4.5,8.307500000000001,66.0
29.6,6.2,9,4.5,8.5,67.0
29.9,6.16,9,3,8.86,68.0
29.9,6.26,8,3,9.219999999999999,69.0
29.9,6.72,9,2.5,9.579999999999998,70.0
29.9,6.08,10,3,9.939999999999998,71.0
29.8,5.47,7,3,10.69,72.0
29.8,6.01,5,2.5,11.059999999999999,73.0
29.6,5.17,4,2.5,11.429999999999998,74.0
29.7,5.96,4,3,11.799999999999997,75.0
29.7,6.14,4,3,12.169999999999996,76.0
29.8,5.14,4,2,12.18,77.0
29.1,6.12,4,2.5,12.506,78.0
29.6,6.14,5,2.5,12.832,79.0
29.9,6.64,4,2.5,13.158000000000001,80.0
30.4,6.11,4,2,13.484000000000002,81.0
29.7,6.32,4,2.5,13.81,82.0
29.2,7.14,4,2,14.31,83.0
29.7,6.29,4,2.5,14.81,84.0
29,6.2,4,4,15.31,85.0
29.6,5.5,5,4,15.81,86.0
29.1,4.47,4,4,16.33160621761658,87.0
