Temp,DO,NH4,NO2,ABW,DOC,ABW.1,ADG
29.3,7.86,0.5,6.0,24.21350294,104,24.21350294,0.637
29.5,7.41,0.5,4.5,24.8502544,105,24.8502544,0.637
29.5,6.45,0.5,4.5,25.48700587,106,25.48700587,0.637
29.4,5.21,2.0,4.5,26.12375734,107,26.12375734,
27.8,11.0,0.0,0.0,0.018222222,1,0.018222222,
28.5,9.15,1.0,0.05,0.035444444,2,0.035444444,0.017222222
28.2,7.23,1.0,0.05,0.052666667,3,0.052666667,0.017222222
28.2,5.69,0.8,0.15,0.069888889,4,0.069888889,0.017222222
28.3,8.34,0.8,0.2,0.087111111,5,0.087111111,0.017222222
28.3,9.27,0.0,0.0,0.104333333,6,0.104333333,0.017222222
28.6,10.143333333333333,0.0,0.0,0.121555556,7,0.121555556,0.017222222
28.65,11.016666666666667,0.8,0.5,0.138777778,8,0.138777778,0.017222222
28.7,11.89,0.0,0.0,0.156,9,0.156,0.017222222
30.0,10.31,0.0,0.0,0.236,10,0.236,0.08
30.0,9.46,0.9,0.75,0.316,11,0.316,0.08
30.1,10.1,0.0,0.0,0.396,12,0.396,0.08
29.0,10.19,0.0,0.0,0.476,13,0.476,0.08
28.4,10.08,0.8,0.8,0.556,14,0.556,0.08
29.3,10.06,0.8,0.0,0.5,15,0.5,-0.056
29.3,8.14,0.0,0.0,0.57,16,0.57,0.07
28.5,10.05,0.8,0.4,0.64,17,0.64,0.07
29.3,9.01,0.0,0.0,0.71,18,0.71,0.07
29.8,9.18,0.0,0.0,0.848,19,0.848,0.138
29.6,10.12,1.6,0.35,1.008,20,1.008,0.16
30.1,9.72,0.0,0.0,1.168,21,1.168,0.16
30.1,9.08,0.0,0.0,1.328,22,1.328,0.16
28.6,6.74,1.6,0.1,1.488,23,1.488,0.16
28.4,6.54,0.0,0.0,1.6445,24,1.6445,0.1565
28.2,6.818,0.0,0.0,1.7945,25,1.7945,0.15
28.7,7.096,3.0,0.15,1.9445,26,1.9445,0.15
28.75,7.374,2.6,0.15,2.0945,27,2.0945,0.15
28.799999999999997,7.651999999999999,3.3,0.1,2.2445,28,2.2445,0.15
28.849999999999998,7.93,4.4,0.1,2.4,29,2.4,0.1555
28.9,6.97,5.0,0.1,2.54,30,2.54,0.14
27.7,5.84,4.4,0.05,2.68,31,2.68,0.14
27.4,4.82,3.5,0.1,2.82,32,2.82,0.14
27.7,5.33,2.6,0.1,2.96,33,2.96,0.14
28.7,5.61,3.0,0.1,3.111111111,34,3.111111111,0.151111111
29.2,4.93,3.5,0.05,3.321111111,35,3.321111111,0.21
29.5,4.57,5.0,0.05,3.531111111,36,3.531111111,0.21
29.7,5.11,10.0,0.05,3.741111111,37,3.741111111,0.21
30.0,4.75,10.0,0.05,3.951111111,38,3.951111111,0.21
29.7,5.22,10.0,0.05,4.167938931,39,4.167938931,0.21682782
29.4,5.15,10.0,0.05,4.357938931,40,4.357938931,0.19
28.3,4.46,9.0,0.1,4.547938931,41,4.547938931,0.19
27.8,5.74,8.0,0.15,4.737938931,42,4.737938931,0.19
28.1,5.92,8.0,0.15,4.927938931,43,4.927938931,0.19
27.7,6.05,9.0,0.2,5.117938931,44,5.117938931,0.19
28.3,6.06,10.0,0.2,5.294797688,45,5.294797688,0.176858757
29.0,6.07,10.0,0.25,5.474797688,46,5.474797688,0.18
28.95,6.08,11.0,0.25,5.654797688,47,5.654797688,0.18
28.9,6.126666666666667,12.0,0.4,5.834797688,48,5.834797688,0.18
29.0,6.173333333333333,12.0,0.4,6.015228426,49,6.015228426,0.180430739
29.1,6.22,12.0,0.5,6.175228426,50,6.175228426,0.16
29.2,6.41,11.0,0.8,6.335228426,51,6.335228426,0.16
29.4,5.78,0.0,0.0,6.495228426,52,6.495228426,0.16
29.3,5.04,14.0,2.5,6.655228426,53,6.655228426,0.16
27.8,5.43,14.0,3.0,6.650746269,54,6.650746269,-0.004482158
29.0,6.21,12.0,4.0,6.737164179,55,6.737164179,0.08641791
29.5,6.81,13.0,5.0,6.82358209,56,6.82358209,0.08641791
29.3,6.2,18.0,7.5,6.91,57,6.91,0.08641791
28.7,7.41,19.0,8.5,7.05,58,7.05,0.14
28.3,6.31,16.0,8.5,7.19,59,7.19,0.14
28.6,6.93,8.0,9.0,7.33,60,7.33,0.14
