Temp,DO,NH3,ABW,DOC,feeding
28.1,4.86,0.1295672335,7.51,48,1
28.3,4.79,0.1141677596,8.02,49,1
28.7,4.82,0.1749510485,8.38,50,1
28.6,4.71,0.1226747504,8.74,51,1
28.7,4.68,0.114892316,9.1,52,1
28.6,4.72,0.1289112989,9.46,53,1
28.5,4.81,0.08690389501,9.82,54,1
28.2,4.76,0.05691764706,10.33,55,1
28.6,4.61,0.04620871752,10.84,56,1
28.9,4.72,0.04603974959,11.35,57,1
28.1,4.51,0.06103754355,11.86,58,1
28.0,4.64,0.1091068988,12.38,59,1
28.6,4.73,0.1019347913,12.85,60,1
28.6,4.73,0.2324567552,13.32,61,1
28.9,4.84,0.3459637945,13.79,62,1
28.8,4.52,0.3505506644,14.26,63,1
28.5,4.69,0.2938059553,14.74,64,1
28.6,4.56,0.2751473127,14.88,65,1
28.7,4.61,0.3440031942,15.03,66,1
28.4,4.68,0.3427243859,15.17,67,1
28.6,4.54,0.3387756519,15.32,68,1
28.5,5.46,0.3270815464,15.46,69,1
27.9,5.03,0.2509013337,15.6,70,1
28.3,5.14,0.2323043946,15.75,71,1
28.6,5.01,0.26895421,15.89,72,1
28.6,5.01,0.1714995573,16.04,73,1
28.7,6.12,0.0,0.001,1,1
27.9,5.64,0.08,0.028,2,1
27.6,5.64,0.08,0.055,3,1
27.6,5.64,0.08,0.081,4,1
28.2,6.47,0.08,0.108,5,1
27.8,6.18,0.06,0.135,6,1
28.1,5.92,0.06,0.162,7,1
28.7,5.56,0.11,0.189,8,1
29.0,9.14,0.11,0.215,9,1
29.2,5.14,0.2,0.242,10,1
29.8,5.03,0.2,0.269,11,1
30.2,4.73,0.14,0.3,12,1
29.9,4.47,0.14,0.32,13,1
29.3,4.93,0.06,0.35,14,1
29.5,5.27,0.06,0.38,15,1
29.3,5.39,0.04,0.4,16,1
29.0,5.56,0.04,0.43,17,1
29.2,5.19,0.12,0.46,18,1
29.4,5.01,0.12,0.48,19,1
29.6,4.41,0.08,0.51,20,1
29.8,5.04,0.04,0.61,21,1
29.5,5.23,0.1,0.71,22,1
29.6,5.22,0.13,0.81,23,1
29.2,5.54,0.19,0.91,24,1
29.0,5.69,0.15,1.02,25,1
28.2,5.44,0.2,1.17,26,1
28.8,4.93,0.25,1.31,27,1
28.5,5.28,0.32,1.46,28,1
29.1,4.89,0.23,1.6,29,1
28.9,4.53,0.26,1.75,30,1
28.8,5.33,0.19,1.96,31,1
28.7,5.43,0.23,2.17,32,1
27.6,5.99,0.17,2.38,33,1
27.1,5.53,0.22,2.59,34,1
27.0,4.71,0.22,2.78,35,1
28.5,5.36,0.17,3.12,36,1
28.3,4.21,0.15,3.46,37,1
29.0,4.46,0.16,3.8,38,1
29.2,4.17,0.23,4.14,39,1
29.1,4.08,0.12,4.49,40,1
28.8,3.92,0.09,4.79,41,1
29.0,3.99,0.09,5.09,42,1
29.0,4.27,0.09,5.39,43,1
28.0,4.21,0.11,5.69,44,1
28.4,4.14,0.09,5.99,45,1
28.7,4.17,0.06,6.48,46,1
28.5,4.23,0.12,6.97,47,1
28.1,4.07,0.06,7.46,48,1
28.3,4.21,0.04,7.95,49,1
28.7,4.41,0.12,8.44,50,1
28.6,4.3,0.16,8.78,51,1
28.7,4.09,0.27,9.12,52,1
28.6,3.97,0.26,9.46,53,1
28.5,3.72,0.21,9.8,54,1
28.2,3.87,0.16,10.16,55,1
28.6,4.01,0.24,10.51,56,1
28.9,4.08,0.23,10.86,57,1
28.1,4.14,0.19,11.21,58,1
28.0,4.02,0.26,11.56,59,1
28.6,4.29,0.29,11.92,60,1
28.6,4.27,0.6,12.3,61,1
28.9,4.39,0.61,12.68,62,1
28.8,4.46,0.62,13.06,63,1
28.5,4.31,0.49,13.44,64,1
28.6,4.47,0.28,13.82,65,1
28.7,4.53,0.44,14.04,66,1
28.4,4.46,0.45,14.26,67,1
28.6,4.61,0.49,14.48,68,1
28.5,4.57,0.54,14.7,69,1
27.9,4.39,0.52,14.9,70,1
28.3,4.44,0.32,15.35,71,1
28.6,4.56,0.36,15.8,72,1
28.6,5.61,0.48,16.25,73,1
28.6,4.68,0.35,16.7,74,1
28.6,4.52,0.4,18.28,75,1
28.6,4.69,0.36,18.74,76,1
28.6,4.8,0.35,19.2,77,1
28.6,4.68,0.35,19.66,78,1
28.6,4.54,0.27,20.12,79,1
28.6,4.41,0.33,20.58,80,1
28.6,4.27,0.45,20.89,81,1
28.6,4.12,0.42,21.2,82,1
28.6,3.82,0.44,21.51,83,1
28.6,4.31,0.44,21.82,84,1
28.6,4.24,0.51,22.15,85,1
28.6,4.22,0.42,22.46,86,1
28.4,5.0,0.0,0.0018,1,1
28.0,4.85,0.04266672066,0.0022,2,1
28.0,4.66,0.04266672066,0.0026,3,1
27.3,5.0,0.03660519611,0.003,4,1
26.9,4.89,0.03660519611,0.0034,5,1
27.5,5.19,0.02917353431,0.0038,6,1
27.4,5.18,0.02917353431,0.0042,7,1
28.0,5.09,0.03085087432,0.0004,8,1
28.2,5.03,0.03085087432,0.0046,9,1
27.6,5.18,0.06885185522,0.005,10,1
27.2,5.13,0.06885185522,0.0122,11,1
27.0,5.21,0.04776286988,0.0194,12,1
27.2,5.35,0.04776286988,0.0266,13,1
26.7,5.46,0.04023231748,0.0338,14,1
26.6,5.18,0.04023231748,0.041,15,1
26.5,5.53,0.02037423419,0.061,16,1
27.1,5.45,0.02049014645,0.081,17,1
27.3,5.29,0.01818713944,0.1,18,1
27.4,5.27,0.01818713944,0.12,19,1
27.7,5.43,0.08336987111,0.14,20,1
27.5,5.96,0.1792046764,0.18,21,1
26.9,5.69,0.2242866273,0.22,22,1
26.6,5.91,0.3158049319,0.26,23,1
26.0,6.05,0.2345145148,0.3,24,1
25.9,6.07,0.3650114014,0.33,25,1
26.0,5.87,0.2974324607,0.44,26,1
25.8,5.79,0.2416241803,0.55,27,1
26.6,5.74,0.2196494481,0.66,28,1
27.0,5.89,0.06400929087,0.77,29,1
27.3,5.87,0.06142087492,0.86,30,1
27.1,5.51,0.07708128455,0.98,31,1
27.5,5.26,0.07814967142,1.1,32,1
28.0,4.52,0.06009443665,1.22,33,1
27.5,5.18,0.03652272084,1.34,34,1
27.4,4.54,0.02840607863,1.45,35,1
27.3,4.46,0.03893232946,1.61,36,1
27.7,4.68,0.07783859744,1.77,37,1
27.9,4.7,0.1052390246,1.93,38,1
27.9,4.82,0.1458310559,2.09,39,1
27.8,4.75,0.185090494,2.26,40,1
26.8,4.67,0.1548879926,2.51,41,1
27.2,4.31,0.1250856997,2.76,42,1
27.5,4.31,0.1498375085,3.01,43,1
27.6,4.03,0.1315052501,3.26,44,1
27.8,4.31,0.07810786237,3.54,45,1
27.5,4.45,0.04530106096,3.92,46,1
27.7,4.66,0.03981526685,4.3,47,1
27.4,4.29,0.0454497258,4.68,48,1
27.4,4.64,0.02681288084,5.06,49,1
27.5,4.07,0.02297228208,5.42,50,1
27.8,3.79,0.02329386358,5.72,51,1
27.7,3.96,0.009125130621,6.02,52,1
27.0,4.7,0.004390719397,6.32,53,1
26.6,4.45,0.01210195074,6.62,54,1
26.7,4.74,0.01457167473,6.94,55,1
26.6,4.05,0.01457626029,7.29,56,1
27.1,4.01,0.02744085219,7.64,57,1
27.2,4.85,0.05028901794,7.99,58,1
27.4,4.82,0.08374495449,8.34,59,1
27.2,4.6,0.1410630154,8.68,60,1
27.5,4.43,0.1144187877,9.01,61,1
27.6,4.03,0.1622180394,9.34,62,1
27.2,4.16,0.15469458,9.67,63,1
27.0,4.04,0.1983659126,10.0,64,1
27.1,3.79,0.2200358924,10.32,65,1
27.1,3.88,0.3049807192,10.72,66,1
27.5,3.93,0.4012465256,11.12,67,1
27.6,3.78,0.2039817244,11.52,68,1
27.4,3.63,0.2138202116,11.92,69,1
27.8,3.77,0.230471551,12.32,70,1
27.9,3.88,0.2130759711,12.66,71,1
27.0,3.69,0.1961484273,13.0,72,1
27.7,3.88,0.2030717223,13.34,73,1
27.8,3.71,0.2244897023,13.68,74,1
27.6,3.64,0.2244897023,14.03,75,1
28.3,3.69,0.1630390655,14.51,76,1
28.4,0.0,0.09132094172,14.99,77,1
28.0,4.25,0.07611912214,15.48,78,1
28.0,4.14,0.06601210648,15.96,79,1
27.6,4.33,0.1850440892,16.44,80,1
27.9,4.47,0.1839175255,16.8,81,1
27.4,4.35,0.202055779,17.16,82,1
27.6,4.13,0.1558493978,17.52,83,1
28.4,4.26,0.1543352212,17.88,84,1
27.9,4.2,0.09594017829,18.21,85,1
28.4,4.1,0.0539124179,18.49,86,1
28.4,4.16,0.06114275009,18.77,87,1
28.4,4.31,0.03469186001,19.05,88,1
28.0,4.03,0.01747477719,19.33,89,1
28.4,4.26,0.01241222532,19.61,90,1
28.2,4.2,0.01765729052,20.23,91,1
28.4,3.97,0.01771290892,20.84,92,1
28.5,3.95,0.007867319488,21.46,93,1
28.3,3.89,0.008763549597,22.08,94,1
28.2,3.96,0.007539273847,22.7,95,1
28.2,3.85,0.005988658086,23.19,96,1
27.6,3.34,0.01563014687,23.68,97,1
28.1,4.04,0.08370768358,24.17,98,1
28.2,3.84,0.1694054057,24.66,99,1
28.4,3.87,0.3010963123,25.15,100,1
28.5,3.87,0.1039644503,25.46,101,1
28.3,3.8,0.06022749049,25.77,102,1
28.3,3.92,0.02742685011,26.08,103,1
28.6,3.88,0.07409763291,26.39,104,1
28.8,3.82,0.1419556026,26.71,105,1
29.3,3.78,0.1795847528,27.32,106,1
29.4,3.78,0.2196381503,27.93,107,1
29.6,3.68,0.2028901512,28.54,108,1
29.2,3.82,0.1572318944,29.15,109,1
28.9,3.63,0.1201224443,29.75,110,1
29.2,5.34,0.09242628641,30.09,111,1
28.6,5.04,0.0,0.0018,1,1
27.8,5.03,0.08,0.0022,2,1
28.0,4.8,0.08,0.0026,3,1
27.4,5.01,0.08,0.003,4,1
26.9,5.05,0.08,0.0034,5,1
27.5,5.03,0.06,0.0038,6,1
27.6,5.04,0.06,0.0042,7,1
28.2,5.02,0.05,0.0046,8,1
28.4,5.18,0.05,0.005,9,1
27.8,5.24,0.06,0.005,10,1
27.4,5.28,0.06,0.0138,11,1
27.0,5.17,0.06,0.0226,12,1
27.0,5.17,0.06,0.0314,13,1
26.6,5.52,0.04,0.0402,14,1
26.5,5.11,0.04,0.049,15,1
26.6,5.63,0.09,0.099,16,1
27.1,5.43,0.18,0.149,17,1
27.4,5.48,0.18,0.2,18,1
27.0,5.45,0.18,0.25,19,1
27.8,5.52,0.28,0.3,20,1
27.4,5.83,0.43,0.33,21,1
26.9,5.85,0.49,0.36,22,1
26.7,5.93,0.35,0.39,23,1
26.2,6.02,0.19,0.42,24,1
26.0,6.19,0.27,0.44,25,1
26.2,5.74,0.16,0.56,26,1
26.0,5.78,0.33,0.68,27,1
26.7,5.68,0.31,0.8,28,1
27.0,5.62,0.26,0.92,29,1
27.3,5.6,0.2,1.03,30,1
27.2,5.86,0.15,1.1,31,1
27.6,5.13,0.12,1.17,32,1
28.1,4.15,0.08,1.24,33,1
27.7,4.6,0.11,1.31,34,1
27.6,4.46,0.14,1.38,35,1
27.5,4.06,0.14,1.61,36,1
27.8,4.3,0.11,1.84,37,1
28.0,4.4,0.12,2.07,38,1
27.9,4.44,0.15,2.3,39,1
27.5,4.57,0.17,2.55,40,1
26.9,4.32,0.14,2.82,41,1
27.3,4.01,0.1,3.09,42,1
27.6,4.11,0.1,3.36,43,1
27.8,4.07,0.12,3.63,44,1
27.9,4.25,0.13,3.9,45,1
27.6,4.12,0.09,4.28,46,1
27.8,4.01,0.1,4.66,47,1
27.5,4.12,0.12,5.04,48,1
27.5,4.56,0.1,5.42,49,1
27.5,3.86,0.12,5.82,50,1
27.8,3.87,0.21,6.01,51,1
27.7,4.0,0.14,6.2,52,1
27.0,4.38,0.17,6.39,53,1
26.6,4.28,0.17,6.58,54,1
26.6,4.45,0.14,6.75,55,1
26.6,3.85,0.13,7.07,56,1
27.0,3.93,0.22,7.39,57,1
27.1,4.38,0.22,7.71,58,1
27.3,4.12,0.18,8.03,59,1
27.1,3.83,0.22,8.38,60,1
27.4,3.76,0.2,8.78,61,1
27.5,3.55,0.23,9.18,62,1
27.0,3.49,0.22,9.58,63,1
26.9,3.43,0.3,9.98,64,1
27.0,3.44,0.27,10.37,65,1
27.1,3.4,0.33,10.64,66,1
27.4,3.62,0.38,10.91,67,1
27.6,3.54,0.35,11.18,68,1
27.5,3.33,0.25,11.45,69,1
27.8,3.46,0.26,11.74,70,1
27.8,3.8,0.25,12.24,71,1
26.9,3.52,0.15,12.74,72,1
27.6,3.7,0.16,13.24,73,1
27.8,3.6,0.19,13.74,74,1
27.6,3.53,0.19,14.22,75,1
28.3,3.06,0.15,14.24,76,1
28.5,3.06,0.11,14.26,77,1
27.9,4.18,0.1,14.27,78,1
27.9,4.21,0.09,14.29,79,1
27.5,4.2,0.1,14.31,80,1
27.9,4.33,0.08,14.33,81,1
27.7,4.25,0.13,14.35,82,1
27.7,4.25,0.19,14.36,83,1
29.6,4.72,0.0,0.0478,1,1
29.7,4.95,0.02256341759,0.0556,2,1
27.6,4.9,0.02256341759,0.0634,3,1
28.7,4.55,0.02256341759,0.0078,4,1
29.1,4.59,0.02256341759,0.001,5,1
29.2,4.51,0.02256341759,0.0088,6,1
28.8,4.31,0.02256341759,0.0166,7,1
28.4,4.24,0.02256341759,0.0244,8,1
27.9,4.24,0.02256341759,0.0322,9,1
28.3,5.16,0.02256341759,0.04,10,1
28.7,5.11,0.0164802205,0.066,11,1
28.9,5.46,0.0164802205,0.092,12,1
29.0,6.16,0.0164802205,0.118,13,1
28.5,5.69,0.05457511162,0.144,14,1
28.8,6.48,0.05457511162,0.17,15,1
28.6,5.12,0.05457511162,0.26,16,1
28.7,5.46,0.05457511162,0.36,17,1
28.2,5.55,0.1564562276,0.45,18,1
28.6,5.76,0.09227828835,0.55,19,1
28.8,5.83,0.09227828835,0.64,20,1
29.0,5.68,0.2097975374,0.84,21,1
28.3,5.69,0.1831810307,1.04,22,1
29.0,6.01,0.1409758159,1.24,23,1
27.3,6.82,0.1273322311,1.44,24,1
26.4,6.12,0.1502686609,1.62,25,1
27.2,6.76,0.07370955843,1.65,26,1
27.2,7.24,0.06293089669,1.68,27,1
26.7,6.24,0.07092160292,1.71,28,1
27.1,6.36,0.07117027227,1.74,29,1
27.0,5.44,0.08147920166,1.77,30,1
27.1,5.71,0.06025568461,1.93,31,1
27.1,6.29,0.01673076282,2.09,32,1
27.1,6.26,0.01070691975,2.25,33,1
28.2,5.14,0.01119825921,2.41,34,1
27.9,5.21,0.01424681592,2.55,35,1
28.7,5.44,0.01314373227,2.72,36,1
28.8,3.45,0.0187562827,2.89,37,1
28.4,6.89,0.01380763609,3.06,38,1
27.8,6.49,0.01366097905,3.23,39,1
28.0,5.49,0.008680708763,3.41,40,1
27.5,5.28,0.00956967641,3.64,41,1
28.1,5.8,0.008468717723,3.87,42,1
27.6,5.4,0.008468717723,4.1,43,1
27.7,5.29,0.008468717723,4.33,44,1
28.3,5.28,0.008468717723,4.55,45,1
28.8,5.2,0.008468717723,4.87,46,1
29.2,5.85,0.008468717723,5.19,47,1
28.5,5.83,0.008468717723,5.51,48,1
28.2,5.36,0.007116574066,5.83,49,1
27.9,5.83,0.004733949469,6.14,50,1
28.1,5.37,0.02217062312,6.46,51,1
27.9,5.21,0.01779698533,6.78,52,1
28.1,5.37,0.01569559918,7.1,53,1
27.7,5.52,0.0303263617,7.42,54,1
27.4,5.75,0.06664288647,7.72,55,1
27.3,5.66,0.1035317526,8.1,56,1
28.1,5.38,0.04138774601,8.48,57,1
28.4,5.28,0.03925064267,8.86,58,1
27.7,5.78,0.05595486996,9.24,59,1
28.6,5.28,0.1481591276,9.63,60,1
28.2,5.43,0.05307942622,10.04,61,1
27.4,5.14,0.05824467448,10.45,62,1
29.0,5.44,0.01874144883,10.86,63,1
28.2,5.04,0.008834843363,11.27,64,1
27.6,5.59,0.009568312507,11.67,65,1
28.3,5.86,0.008831252375,12.12,66,1
28.2,5.52,0.00786853837,12.57,67,1
28.9,5.58,0.01590127804,13.02,68,1
28.3,5.58,0.05419077202,13.47,69,1
27.4,4.12,0.0525206444,13.91,70,1
27.8,4.11,0.03061336363,14.38,71,1
28.2,4.69,0.006707976497,14.85,72,1
27.3,4.78,0.01327332544,15.32,73,1
27.7,5.03,0.007687803469,15.79,74,1
28.3,4.86,0.007983898559,16.26,75,1
28.4,3.67,0.006614462728,16.58,76,1
28.4,4.71,0.1621370595,16.9,77,1
29.2,4.96,0.3051609051,17.22,78,1
29.0,4.73,0.3361559705,17.54,79,1
28.2,5.06,0.4589957511,17.87,80,1
28.9,4.66,0.420527958,18.54,81,1
28.8,4.7,0.424894972,19.21,82,1
29.6,4.69,0.5203525037,19.88,83,1
29.4,4.58,0.5794832699,20.55,84,1
29.8,4.61,0.4901795035,21.2,85,1
29.4,4.41,0.5332760599,21.56,86,1
29.5,4.36,0.42764454,21.92,87,1
28.9,4.11,0.5288587707,22.28,88,1
29.7,3.71,0.3086936503,22.64,89,1
30.0,3.7,0.3942857864,23.0,90,1
29.9,3.62,0.496376396,23.22,91,1
29.4,4.14,0.3356617891,23.44,92,1
29.1,4.56,0.2283948671,23.66,93,1
27.6,4.21,0.3471318238,23.88,94,1
28.7,4.21,0.2296002272,24.12,95,1
29.4,3.85,0.3104899342,24.97,96,1
29.5,3.87,0.2126390981,25.82,97,1
29.3,4.07,0.3027276567,26.67,98,1
28.9,5.17,0.3569681201,27.53,99,1
29.5,4.88,0.0,0.0358,1,1
29.6,5.15,0.08,0.0416,2,1
27.7,5.38,0.08,0.0474,3,1
28.7,4.87,0.08,0.0532,4,1
29.3,5.03,0.08,0.001,5,1
29.1,4.74,0.08,0.0068,6,1
29.1,4.56,0.08,0.0126,7,1
28.9,4.32,0.08,0.0184,8,1
28.3,4.32,0.08,0.0242,9,1
28.6,4.8,0.08,0.03,10,1
29.0,5.07,0.02,0.054,11,1
29.0,5.19,0.02,0.078,12,1
29.1,6.6,0.02,0.102,13,1
28.6,5.84,0.02,0.126,14,1
29.0,5.92,0.02,0.15,15,1
28.7,5.8,0.07,0.22,16,1
28.6,5.09,0.07,0.29,17,1
28.3,5.29,0.18,0.35,18,1
28.5,5.23,0.1,0.42,19,1
28.7,5.64,0.1,0.49,20,1
29.2,5.76,0.19,0.59,21,1
28.5,5.83,0.15,0.69,22,1
29.2,6.07,0.16,0.79,23,1
27.4,6.71,0.16,0.89,24,1
26.6,5.89,0.22,0.98,25,1
27.3,6.54,0.18,1.13,26,1
27.3,7.03,0.08,1.28,27,1
26.8,7.06,0.13,1.43,28,1
27.1,5.72,0.11,1.58,29,1
27.1,5.47,0.06,1.73,30,1
27.3,5.42,0.07,1.88,31,1
27.9,6.07,0.02,2.03,32,1
27.2,6.01,0.01,2.18,33,1
28.3,5.26,0.02,2.33,34,1
28.0,6.08,0.04,2.46,35,1
28.6,5.75,0.05,2.47,36,1
28.7,3.85,0.08,2.48,37,1
28.6,7.25,0.08,2.49,38,1
27.9,6.21,0.11,2.5,39,1
28.1,5.62,0.02,2.5,40,1
27.4,5.16,0.03,2.76,41,1
28.2,6.13,0.03,3.02,42,1
27.8,5.77,0.03,3.28,43,1
27.8,5.37,0.03,3.54,44,1
28.1,5.71,0.03,3.81,45,1
28.7,4.93,0.03,4.06,46,1
29.2,5.09,0.03,4.31,47,1
28.5,5.69,0.03,4.56,48,1
28.2,5.21,0.01,4.81,49,1
27.8,5.92,0.01,5.06,50,1
28.3,5.49,0.01,5.3,51,1
27.9,5.61,0.02,5.54,52,1
27.9,5.66,0.01,5.78,53,1
27.6,5.31,0.01,6.02,54,1
27.3,5.82,0.01,6.26,55,1
27.2,5.36,0.01,6.66,56,1
28.0,5.27,0.01,7.06,57,1
28.3,5.42,0.01,7.46,58,1
27.7,5.76,0.01,7.86,59,1
28.6,5.07,0.01,8.26,60,1
28.2,5.03,0.01,8.6,61,1
27.6,4.8,0.02,8.94,62,1
29.1,5.27,0.06,9.28,63,1
28.4,5.12,0.06,9.62,64,1
27.6,6.36,0.07,9.96,65,1
28.3,6.68,0.03,10.34,66,1
28.1,5.92,0.01,10.72,67,1
28.8,6.2,0.01,11.1,68,1
28.2,6.2,0.02,11.48,69,1
27.3,4.4,0.01,11.86,70,1
27.7,4.4,0.01,12.24,71,1
