wt,21-24,24-28,28-32
1-3,0.08,0.06,0.07
3-5,0.07,0.05,0.06
5-7,0.065,0.045,0.055
7-9,0.06,0.04,0.05
9-11,0.055,0.035,0.045
11-13,0.05,0.03,0.04
13-15,0.045,0.024,0.035
15-17,0.04,0.025,0.03
17-30,0.03,0.02,0.025
